"Plot Title: Logger_9_final_cal"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444033, SEN S/N: 20444033, LBL: C)","Coupler Detached (LGR S/N: 20444033)","Coupler Attached (LGR S/N: 20444033)","Host Connected (LGR S/N: 20444033)","Stopped (LGR S/N: 20444033)","End Of File (LGR S/N: 20444033)"
467,09/20/22 12:40:00 AM,26.304,,,,,
468,09/20/22 12:50:00 AM,26.304,,,,,
469,09/20/22 01:00:00 AM,26.304,,,,,
470,09/20/22 01:10:00 AM,26.304,,,,,
471,09/20/22 01:20:00 AM,26.304,,,,,
472,09/20/22 01:30:00 AM,26.304,,,,,
473,09/20/22 01:40:00 AM,26.304,,,,,
474,09/20/22 01:50:00 AM,26.280,,,,,
475,09/20/22 02:00:00 AM,26.280,,,,,
476,09/20/22 02:10:00 AM,26.280,,,,,
477,09/20/22 02:20:00 AM,26.256,,,,,
478,09/20/22 02:30:00 AM,26.256,,,,,
479,09/20/22 02:40:00 AM,26.256,,,,,
480,09/20/22 02:50:00 AM,26.256,,,,,
481,09/20/22 03:00:00 AM,26.256,,,,,
482,09/20/22 03:10:00 AM,26.256,,,,,
483,09/20/22 03:20:00 AM,26.231,,,,,
484,09/20/22 03:30:00 AM,26.231,,,,,
485,09/20/22 03:40:00 AM,26.231,,,,,
486,09/20/22 03:50:00 AM,26.207,,,,,
487,09/20/22 04:00:00 AM,26.207,,,,,
488,09/20/22 04:10:00 AM,26.207,,,,,
489,09/20/22 04:20:00 AM,26.207,,,,,
490,09/20/22 04:30:00 AM,26.207,,,,,
491,09/20/22 04:40:00 AM,26.182,,,,,
492,09/20/22 04:50:00 AM,26.182,,,,,
493,09/20/22 05:00:00 AM,26.182,,,,,
494,09/20/22 05:10:00 AM,26.182,,,,,
495,09/20/22 05:20:00 AM,26.182,,,,,
496,09/20/22 05:30:00 AM,26.158,,,,,
497,09/20/22 05:40:00 AM,26.158,,,,,
498,09/20/22 05:50:00 AM,26.158,,,,,
499,09/20/22 06:00:00 AM,26.158,,,,,
500,09/20/22 06:10:00 AM,26.158,,,,,
501,09/20/22 06:20:00 AM,26.158,,,,,
502,09/20/22 06:30:00 AM,26.158,,,,,
503,09/20/22 06:40:00 AM,26.158,,,,,
504,09/20/22 06:50:00 AM,26.158,,,,,
505,09/20/22 07:00:00 AM,26.158,,,,,
